id,Protein names,Gene names,PROlong_mean
34,DNA-directed RNA polymerase III subunit RPC7,POLR3G,1.10594
35,E3 ubiquitin-protein ligase UHRF1,UHRF1,0.8721633333333333
36,Zinc transporter SLC39A7,SLC39A7,0.9821533333333333
37,Myotubularin-related protein 14,MTMR14,0.7060249999999999
38,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,1.0830666666666666
39,MICOS complex subunit MIC10,MINOS1;MINOS1-NBL1,1.1639
40,Magnesium transporter protein 1,MAGT1,0.8941133333333333
41,DNA polymerase;DNA polymerase alpha catalytic subunit,POLA1,0.80819
42,Beta-catenin-like protein 1,CTNNBL1,0.97582
43,Signal peptidase complex subunit 2,SPCS2,0.96509
44,G antigen 12F;G antigen 4;G antigen 12I;G antigen 12G;G antigen 7;G antigen 1;G antigen 12H;G antigen 12B/C/D/E,GAGE2E;GAGE12F;GAGE4;GAGE12I;GAGE12G;GAGE7;GAGE1;GAGE12H;GAGE12B,0.9663066666666666
45,Fibroblast growth factor;Fibroblast growth factor 2,FGF2,0.9203866666666667
46,Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain,ASRGL1,0.9772
47,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5,0.90477
48,"RNA-binding motif protein, X-linked 2",RBMX2,0.71846
49,Zinc finger protein 516,ZNF516,0.7943433333333333
50,Protein Smaug homolog 2,SAMD4B,1.0638233333333333
51,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),TKFC;DAK,1.0971333333333333
52,Synaptojanin-2-binding protein,SYNJ2BP-COX16;SYNJ2BP,1.0164166666666667
55,Glutathione peroxidase;Glutathione peroxidase 1,GPX1,0.9834433333333333
56,40S ribosomal protein S24,RPS24,0.9041699999999999
57,Eukaryotic translation initiation factor 5B,EIF5B,0.8974666666666666
58,"Zinc finger protein 36, C3H1 type-like 2",ZFP36L2,1.1615666666666666
59,NF-kappa-B essential modulator,IKBKG,0.9847733333333334
60,ADP-ribosylation factor-like protein 15,ARL15,1.1759666666666666
62,C-Myc-binding protein,MYCBP,0.9145466666666666
63,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,1.1460333333333332
64,FGFR1 oncogene partner,FGFR1OP,0.93565
65,Glycosylated lysosomal membrane protein,GLMP,1.1421
66,Antigen KI-67,MKI67,0.5746733333333334
67,Stromal membrane-associated protein 2,SMAP2,0.8290533333333333
68,Selenoprotein T,SELT,1.0314666666666668
69,ATP-dependent RNA helicase DDX50,DDX50,0.83797
70,Intersectin-2,ITSN2,1.1860833333333334
71,Gamma-tubulin complex component 5,TUBGCP5,0.826645
72,Protein CYR61,CYR61,1.2599333333333333
73,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,1.1085666666666667
74,Clathrin heavy chain;Clathrin heavy chain 1,CLTC,0.9845466666666667
75,MOB kinase activator 2,MOB2,0.9393366666666666
77,Cilia- and flagella-associated protein 57,CFAP57,1.2354333333333334
78,Secernin-3,SCRN3,1.1543333333333334
79,Endophilin-B1,SH3GLB1,1.3706666666666667
81,Ethanolaminephosphotransferase 1,EPT1,1.0349433333333333
82,WAS/WASL-interacting protein family member 1,WIPF1,1.02933
83,Lethal(2) giant larvae protein homolog 1,LLGL1,1.1203333333333334
84,Low-density lipoprotein receptor-related protein 8,LRP8,0.9700066666666667
86,DNA polymerase delta subunit 2,POLD2,0.7804333333333333
87,Protein phosphatase Slingshot homolog 3,SSH3,1.1560333333333335
88,IQ motif and SEC7 domain-containing protein 1;IQ motif and SEC7 domain-containing protein 2,IQSEC1;IQSEC2,0.615535
89,GMP reductase;GMP reductase 2,GMPR2,1.5118333333333334
90,Putative RNA-binding protein 15,RBM15,0.7298866666666667
91,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase gamma,PTPRG,0.99467
92,THO complex subunit 1,THOC1,0.7278933333333334
93,B-cell lymphoma/leukemia 10,BCL10,1.0120233333333333
94,Gamma-adducin,ADD3,1.0074033333333334
95,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,0.7302466666666667
97,Nucleolar protein of 40 kDa,ZCCHC17,0.80248
99,Forkhead box protein K2,FOXK2,0.84111
100,60S ribosomal protein L17,RPL17;RPL17-C18orf32,0.8381933333333333
101,Integrin beta;Integrin beta-6,ITGB6,1.1198333333333332
102,Diphthine synthase,DPH5,0.9939066666666666
103,Ribonuclease H2 subunit B,RNASEH2B,1.0502133333333332
104,ATPase ASNA1,ASNA1,0.9887766666666666
105,Required for meiotic nuclear division protein 1 homolog,RMND1,0.9687266666666666
106,Extended synaptotagmin-2,ESYT2,0.9911066666666667
107,Ataxin-3,ATXN3,1.0917666666666666
108,YTH domain-containing family protein 2,YTHDF2,0.8413933333333333
110,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,1.0443
111,AP-2 complex subunit mu,AP2M1,0.9853866666666666
112,Protein jagunal homolog 1,JAGN1,0.9266833333333333
113,Transporter;Sodium- and chloride-dependent taurine transporter,SLC6A6,0.8480633333333334
115,MICOS complex subunit MIC27,APOOL,1.00101
116,Seizure 6-like protein 2,SEZ6L2,1.424
117,Mediator of RNA polymerase II transcription subunit 6,MED6,0.9028266666666667
118,NAD-dependent protein deacetylase sirtuin-2,SIRT2,1.17175
119,ATP-dependent RNA helicase DHX29,DHX29,0.8849733333333333
120,Selenoprotein H,C11orf31;SELH,0.8252833333333334
121,Signal recognition particle 19 kDa protein,SRP19,1.1147333333333334
122,Sorting nexin;Sorting nexin-9,SNX9,0.9271566666666667
123,UPF0585 protein C16orf13,C16orf13,1.1061333333333334
124,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,NKTR,0.58859
126,Ribonucleoprotein PTB-binding 1,RAVER1,0.8997733333333333
127,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase,TYW1B;TYW1,0.8977666666666667
128,Lipoma-preferred partner,LPP,0.96076
129,Rho guanine nucleotide exchange factor 18,ARHGEF18,1.0298566666666666
130,Myristoylated alanine-rich C-kinase substrate,MARCKS,1.1207
131,Ribonuclease T2,RNASET2,1.2960666666666667
132,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,0.9495633333333333
133,Myotubularin-related protein 13,SBF2,1.2283499999999998
134,Cell adhesion molecule 1,CADM1,0.99228
135,Methyltransferase-like protein 7B,METTL7B,0.9763066666666667
136,Cyclin-dependent kinase 16,CDK16,1.0347366666666666
137,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,PPIP5K2,1.2306666666666666
138,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,0.7292733333333333
139,Kinesin-like protein;Kinesin-like protein KIF3A,KIF3A,1.1663333333333334
141,Calpain-5,CAPN5,1.1107
143,Protein FAM208A,FAM208A,0.98078
146,Tight junction protein ZO-1,TJP1,0.68922
147,Kanadaptin,SLC4A1AP,1.0659333333333334
148,Nucleolar protein 4-like,NOL4L,1.3592666666666668
149,Selenoprotein O,SELO,0.98015
150,Sorting nexin-12,SNX12,1.0237
151,Collagen alpha-1(VI) chain,COL6A1,1.3909666666666667
152,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2;ACOT1,1.0727
153,Transcription factor p65,RELA,0.9434033333333334
155,G antigen 2D;G antigen 2A;G antigen 2E;G antigen 2B/2C,GAGE13;GAGE2D;GAGE2A;GAGE2E;GAGE2B,0.9400666666666667
156,Nodal modulator 1,NOMO1,1.08595
157,Septin-8,SEPT8,1.1400666666666668
158,Arfaptin-2,ARFIP2,1.239
159,Mediator of RNA polymerase II transcription subunit 20,MED20,0.9428566666666667
160,15 kDa selenoprotein,SEP15,0.9763766666666667
161,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,1.2949
162,LisH domain-containing protein ARMC9,ARMC9,0.9591566666666667
163,Ribonuclease P protein subunit p40,RPP40,0.9178733333333333
164,Calcium-dependent secretion activator 2,CADPS2,1.0536
165,Transcription intermediary factor 1-alpha,TRIM24,0.9484533333333334
166,EF-hand domain-containing protein D1,EFHD1;PP1187,1.1223
167,Proteasome activator complex subunit 2,PSME2,1.1930333333333334
168,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,1.036985
169,Protein CIP2A,KIAA1524,0.8503066666666667
170,WASH complex subunit 7,KIAA1033,1.1214
171,"39S ribosomal protein L45, mitochondrial",MRPL45,0.9017666666666666
172,Nucleolar protein 16,NOP16,0.6408333333333334
173,E3 ubiquitin-protein ligase HECTD1,HECTD1,1.2824
174,26S protease regulatory subunit 10B,PSMC6,1.02122
175,Dedicator of cytokinesis protein 1,DOCK1,1.02386
176,E3 ubiquitin-protein ligase RNF114,RNF114,1.0585666666666667
178,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,ALG13,0.8477833333333333
179,Probable peptidyl-tRNA hydrolase,PTRH1,0.97779
180,Uncharacterized protein FLJ45252,AAK1,1.1301333333333332
181,Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6;WAS protein family homolog 1,WASH3P;WASH2P;WASH6P;WASH1,1.3062666666666667
182,WASH complex subunit FAM21C;WASH complex subunit FAM21A,FAM21A;FAM21C,1.0533966666666668
184,"ES1 protein homolog, mitochondrial",C21orf33,1.0351
185,Mitogen-activated protein kinase kinase kinase kinase;Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,0.9398533333333333
186,Protein RTF2 homolog,RTFDC1,1.1743333333333335
187,Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3,PYCRL,0.9637233333333334
188,CLK4-associating serine/arginine rich protein,CLASRP,1.0640266666666667
189,Laminin subunit alpha-4,LAMA4,1.2277333333333333
190,WD repeat-containing protein 18,WDR18,0.8880966666666666
191,Inverted formin-2,INF2,1.0638466666666666
192,Selenocysteine lyase,SCLY,0.99968
193,Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-5,RPS6KA5,0.8294066666666666
195,Muscleblind-like protein 1,MBNL1,0.77094
196,VWFA and cache domain-containing protein 1,CACHD1,1.0204149999999998
197,Target of rapamycin complex subunit LST8,MLST8,1.0909566666666666
198,Protein-tyrosine-phosphatase;Tyrosine-protein phosphatase non-receptor type 9,PTPN9,1.00393
200,RNA-binding protein 10,RBM10,0.81506
201,Diacylglycerol O-acyltransferase 1,DGAT1,1.1498
202,Titin,TTN,1.0581566666666666
203,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,0.69497
204,MAP kinase-activating death domain protein,MADD,1.0946333333333333
205,G-protein-signaling modulator 1,GPSM1,0.8679133333333333
206,Zinc finger protein 74,ZNF74,1.5083
207,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,1.1072333333333333
208,WD repeat-containing protein 47,WDR47,1.0781233333333333
209,A-kinase anchor protein 9,AKAP9,1.0571
210,"Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,1.2298
212,GPALPP motifs-containing protein 1,GPALPP1,0.9770466666666666
213,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha,CDC42BPA,1.0452166666666667
214,Metaxin-1,MTX1,1.00726
215,Unconventional myosin-VI,MYO6,1.2235
216,Nucleolar and coiled-body phosphoprotein 1,NOLC1,0.60841
217,Fucose-1-phosphate guanylyltransferase,FPGT,0.97093
218,Transcription initiation factor TFIID subunit 8,TAF8,0.93977
219,U1 small nuclear ribonucleoprotein C,SNRPC,0.8544833333333334
220,Trimeric intracellular cation channel type B,TMEM38B,1.03388
221,Abl interactor 1,ABI1,1.00724
223,Ribosome-binding protein 1,RRBP1,0.8191833333333334
224,Aprataxin,APTX,1.0066
226,TNFAIP3-interacting protein 1,TNIP1,0.7670433333333333
227,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,1.1016333333333332
228,Sideroflexin;Sideroflexin-3,SFXN3,1.0892
229,Conserved oligomeric Golgi complex subunit 4,COG4,1.0555666666666668
230,Calcium/calmodulin-dependent protein kinase type II subunit gamma,CAMK2G;CAMK2B,1.6785
231,cAMP-dependent protein kinase catalytic subunit beta,PRKACB,1.0248033333333333
232,Helicase SRCAP,SRCAP,0.7599899999999999
233,Myeloid differentiation primary response protein MyD88,MYD88,1.0172066666666666
234,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,1.2655333333333334
235,Poliovirus receptor,PVR,1.0377266666666667
236,Exocyst complex component 7,EXOC7,1.1284333333333334
237,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,0.9455966666666666
238,G patch domain-containing protein 11,GPATCH11,0.90834
239,Four and a half LIM domains protein 2,FHL2,0.8468133333333333
240,Polyhomeotic-like protein 2,PHC2,0.9008866666666666
241,Exocyst complex component 5,EXOC5,1.0927
243,Rho GTPase-activating protein 5,ARHGAP5,1.0824666666666667
244,Protein arginine N-methyltransferase 3,PRMT3,0.8688833333333333
245,Osteopetrosis-associated transmembrane protein 1,OSTM1,0.9781566666666667
246,Aldo-keto reductase family 1 member C3,AKR1C3,1.3004666666666667
247,Tapasin,TAPBP,1.1229266666666666
249,"NADPH:adrenodoxin oxidoreductase, mitochondrial",FDXR,1.1204333333333334
250,ATP-binding cassette sub-family A member 13,ABCA13,0.94148
252,Aldo-keto reductase family 1 member C1,AKR1C1,1.4634
253,Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA,1.6546
254,Protein SCAF8,SCAF8,0.9786333333333334
255,Peptidyl-prolyl cis-trans isomerase;FK506-binding protein 15,FKBP15,1.0971666666666666
256,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,1.0381333333333334
257,WD repeat-containing protein 36,WDR36,1.2366666666666666
258,E3 ubiquitin-protein ligase RNF213,RNF213,1.0747666666666666
259,Tumor suppressor candidate 3,TUSC3,0.8895366666666666
260,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,1.0996000000000001
262,"Valine--tRNA ligase, mitochondrial",VARS2,1.009
263,Protein sprouty homolog 2,SPRY2,0.8049566666666667
264,Integrin-linked protein kinase,ILK,0.9825833333333334
265,TATA-binding protein-associated factor 172,BTAF1,0.90033
266,Elongation of very long chain fatty acids protein;Elongation of very long chain fatty acids protein 5,ELOVL5,1.0587499999999999
267,Neutral cholesterol ester hydrolase 1,NCEH1,0.9367333333333333
268,Protein FAM65A,FAM65A,1.1109
269,Cullin-2,CUL2,0.9908433333333333
271,6.8 kDa mitochondrial proteolipid,C14orf2;MP68,0.93585
272,Cadherin-13,CDH13,1.0919666666666668
274,Iron-responsive element-binding protein 2,IREB2,2.967
275,Mitogen-activated protein kinase kinase kinase kinase;Mitogen-activated protein kinase kinase kinase kinase 2,MAP4K2,1.0539266666666667
276,Rap guanine nucleotide exchange factor 6,RAPGEF6,1.0207766666666667
277,E3 ubiquitin-protein ligase ZFP91,ZFP91-CNTF;ZFP91,0.78905
278,Condensin-2 complex subunit H2,NCAPH2,0.7931900000000001
279,Arpin,C15orf38-AP3S2;ARPIN,1.03646
280,Putative NPIP-like protein LOC729978,,1.0124866666666668
281,Suppressor of SWI4 1 homolog,PPAN-P2RY11;PPAN,0.82548
282,UPF0562 protein C7orf55;Putative RNA-binding protein Luc7-like 2,LUC7L2;C7orf55;C7orf55-LUC7L2,0.8870733333333334
283,Coronin;Coronin-7,CORO7-PAM16;CORO7,1.00691
284,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",ACSS3,0.9845700000000001
285,UPF0693 protein C10orf32,C10orf32-ASMT;C10orf32,1.1206333333333334
286,Phosphatidylinositol 4-kinase beta,PI4KB,1.0217566666666666
287,Serine/arginine-rich splicing factor 7,SRSF7,0.6972833333333334
289,Glutamine-dependent NAD(+) synthetase,NADSYN1,1.0948933333333333
290,,C11orf98,0.8008966666666667
292,Trafficking protein particle complex subunit 2-like protein,TRAPPC2L,1.2032333333333334
293,Sedoheptulokinase,TRPV1;SHPK,1.0438333333333334
294,Disks large-associated protein 4,DLGAP4,1.0999666666666668
295,Periodic tryptophan protein 2 homolog,PWP2,1.2726666666666666
297,Lanosterol 14-alpha demethylase,CYP51A1,1.5503666666666667
298,Maleylacetoacetate isomerase,GSTZ1,1.00487
299,Transmembrane 9 superfamily member 4,TM9SF4,1.1050333333333333
300,Mitofusin-1,MFN1,1.06728
301,Monoglyceride lipase,MGLL,1.0774000000000001
302,Protein UXT,UXT,1.0181066666666667
303,Disks large homolog 1,DLG1,0.98197
304,"Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial",SOD2,1.2749
305,EMILIN-1,EMILIN1,1.4791666666666667
306,Negative elongation factor A,NELFA,0.87383
307,40S ribosomal protein SA,RPSA,0.9927
308,Abl interactor 2,ABI2,0.9027933333333333
309,WD repeat-containing protein 41,WDR41,1.2885
310,Peroxisome biogenesis factor 1,PEX1,1.171
311,Nesprin-1,SYNE1,1.1231
312,"Serine protease HTRA2, mitochondrial",HTRA2,1.2507666666666666
313,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,0.7916833333333333
314,"POU domain protein;POU domain, class 2, transcription factor 1;POU domain, class 2, transcription factor 2;POU domain, class 2, transcription factor 3",POU2F1;POU2F2;POU2F3,0.8814933333333334
315,,DDX46,0.74888
316,Nucleoside diphosphate kinase;Nucleoside diphosphate kinase 6,NME6,0.914
317,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,1.1574
319,Calpastatin,CAST,1.1103666666666667
321,Syntaxin-3,STX3,1.43855
322,Protein kinase C and casein kinase substrate in neurons protein 3,PACSIN3,1.0222666666666667
323,Chromodomain-helicase-DNA-binding protein 4,CHD4,0.80109
324,CD276 antigen,CD276,1.0271866666666667
325,Ras-related protein R-Ras2,RRAS2,0.89828
328,ARF GTPase-activating protein GIT1,GIT1,0.9440466666666667
329,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1,0.9796933333333333
330,Calpain small subunit 1,CAPNS1,1.0889333333333333
331,Dehydrogenase/reductase SDR family member 7B,DHRS7B,1.0695999999999999
332,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,0.81447
333,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,0.96605
334,Golgin subfamily A member 2,GOLGA2,1.1159999999999999
335,Lysophospholipid acyltransferase LPCAT4,LPCAT4,1.081525
336,Methylmalonic aciduria and homocystinuria type C protein,MMACHC,0.90793
337,Zinc finger Ran-binding domain-containing protein 2,ZRANB2,0.8785566666666668
338,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,0.16942
339,UPF0600 protein C5orf51,C5orf51,1.1439
341,"39S ribosomal protein L22, mitochondrial",MRPL22,0.9685133333333333
342,DNA-directed RNA polymerase;DNA-directed RNA polymerase II subunit RPB1,POLR2A,0.8746966666666667
343,Tripeptidyl-peptidase 1,TPP1,1.0583866666666666
344,Band 4.1-like protein 1,EPB41L1,1.2658
345,Thromboxane-A synthase,TBXAS1,1.0710666666666666
346,EH domain-containing protein 3,EHD3,1.0655666666666666
347,Uncharacterized protein C6orf203,C6orf203,1.1864333333333332
348,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A,CDK11B;CDC2L1;CDK11A,0.91518
349,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,1.1728666666666667
350,Serine/arginine-rich splicing factor 4,SRSF4,0.9589533333333333
351,Ran-binding protein 10,RANBP10,0.9169966666666667
353,,,0.98029
355,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,0.8124033333333334
357,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,0.9177833333333333
358,Dynamin-1,DNM1,0.7653233333333334
359,Cytohesin-2,CYTH2,1.0934333333333333
360,Unconventional myosin-XVIIIa,MYO18A,0.9470166666666666
361,Ubiquitin-conjugating enzyme E2 A,UBE2A,1.0643
362,PHD finger protein 6,PHF6,0.9515133333333333
363,Synaptojanin-1,SYNJ1,1.0236
364,"HLA class II histocompatibility antigen, DR alpha chain",HLA-DRA,1.2332
365,Protein diaphanous homolog 1,DIAPH1,0.89551
366,Phostensin,PPP1R18,0.99451
367,"HLA class I histocompatibility antigen, A-36 alpha chain;HLA class I histocompatibility antigen, A-1 alpha chain",HLA-A,1.4606999999999999
368,Histone-lysine N-methyltransferase EHMT2,EHMT2,0.9327466666666666
369,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,1.0480333333333334
370,Proteasome subunit beta type;Proteasome subunit beta type-9,PSMB9,1.5050333333333334
371,Abhydrolase domain-containing protein 16A,ABHD16A,1.1142666666666667
372,"HLA class II histocompatibility antigen, DR beta 4 chain",HLA-DRB4,1.2445
373,Bromodomain-containing protein 2,BRD2,0.9442033333333333
374,Retinoic acid receptor RXR-beta,RXRB,0.82385
375,Glucosylceramidase,GBA,1.1378666666666666
376,Glutathione S-transferase theta-1,GSTT1,1.0553
378,Protein scribble homolog,SCRIB,0.91045
379,Disintegrin and metalloproteinase domain-containing protein 32,ADAM32,1.3311333333333333
380,,,1.0732
382,Active breakpoint cluster region-related protein,ABR,1.0118
383,Nucleoredoxin,NXN,1.1139
385,Melanoma antigen preferentially expressed in tumors;PRAME family member 14;PRAME family member 7;PRAME family member 13;PRAME family member 8;PRAME family member 17;PRAME family member 1;PRAME family member 2;PRAME family member 10;PRAME family member 12,PRAME;PRAMEF14;PRAMEF7;PRAMEF13;PRAMEF8;PRAMEF17;PRAMEF1;PRAMEF2;PRAMEF10;PRAMEF12,2.5963333333333334
386,Transcription initiation factor TFIID subunit 4,TAF4,1.2938
389,PHD and RING finger domain-containing protein 1,PHRF1,0.8158966666666667
391,Absent in melanoma 1 protein,AIM1,0.8978933333333333
392,DnaJ homolog subfamily B member 6,DNAJB6,0.9476766666666666
393,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1,0.9103950000000001
395,Serum paraoxonase/arylesterase 2,PON2,0.8940466666666667
396,WD repeat-containing protein 81,WDR81,1.0255833333333333
398,Disheveled-associated activator of morphogenesis 2,DAAM2,0.93315
400,Interferon-related developmental regulator 2,IFRD2,0.9678399999999999
401,,,0.99662
403,,,0.9185
404,SCY1-like protein 2,SCYL2,0.9547266666666667
405,WD repeat domain phosphoinositide-interacting protein 4,WDR45,1.0232933333333334
406,Casein kinase I isoform gamma-3;Casein kinase I isoform gamma-1;Casein kinase I isoform gamma-2,hCG_2004507;CSNK1G1;CSNK1G3;CSNK1G2,0.95018
407,C-myc promoter-binding protein,DENND4A,0.9706
408,Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A;Histone H2A type 1-A;Histone H2AX,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AA;H2AFX,0.8951066666666666
410,Exocyst complex component 6B,EXOC6B,1.1902733333333333
412,Spermatogenesis-associated protein 20,SPATA20,1.0018
413,Transcriptional repressor p66-beta,GATAD2B,0.84068
414,Polypyrimidine tract-binding protein 1,PTBP1,0.8190433333333333
415,Negative elongation factor B,NELFB,0.8857666666666667
416,"HLA class II histocompatibility antigen, DP alpha 1 chain",HLA-DPA1;HLA-DQA1,1.7228
417,"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-15 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-5 alpha chain",HLA-C,2.5205
418,"HLA class I histocompatibility antigen, A-2 alpha chain",HLA-A,1.4593333333333334
420,Antigen peptide transporter 1,TAP1,1.1162333333333334
421,E3 ubiquitin-protein ligase RNF5,RNF5,1.0667333333333333
422,Protein QIL1,QIL1,1.1521333333333335
423,Intraflagellar transport protein 56,TTC26,1.2463
424,Ubiquitin-like modifier-activating enzyme 6,UBA6,1.0273966666666667
425,Shootin-1,KIAA1598,1.0253066666666666
426,Sodium/glucose cotransporter 5,SLC5A10,0.84885
427,Transmembrane protein 223,TMEM223,0.9946666666666666
429,Acetolactate synthase-like protein,ILVBL,0.9863233333333333
430,SH3 and PX domain-containing protein 2B,SH3PXD2B,1.0415666666666665
431,"Aconitate hydratase, mitochondrial",ACO2,0.8737566666666666
432,Stathmin,STMN1,1.0443666666666667
433,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6,0.93943
434,Protein AAR2 homolog,AAR2,0.8441933333333334
435,Major prion protein,PRNP,0.6617333333333333
436,Dedicator of cytokinesis protein 8,DOCK8,0.7227
437,Putative PIP5K1A and PSMD4-like protein,PIPSL,1.7446
438,"HLA class I histocompatibility antigen, Cw-7 alpha chain",HLA-C,1.6377333333333333
439,"39S ribosomal protein L28, mitochondrial",MRPL28,0.8821233333333334
440,,IRX5,1.1568
